exp,alpha,beta,k_sigma,n_videos,n_picos,n_segs,P@5,R@5,F1@5,P@10,R@10,F1@10,P@15,R@15,F1@15
asr_only,1.0,0.0,1.0,2,22,21,0.2273,0.2174,0.2222,0.4091,0.3913,0.4,0.5,0.4783,0.4889
asr_only,1.0,0.0,1.5,2,22,21,0.2273,0.2174,0.2222,0.4091,0.3913,0.4,0.5,0.4783,0.4889
asr_only,1.0,0.0,2.0,2,22,21,0.2273,0.2174,0.2222,0.4091,0.3913,0.4,0.5,0.4783,0.4889
asr_only,1.0,0.0,2.5,2,22,21,0.2273,0.2174,0.2222,0.4091,0.3913,0.4,0.5,0.4783,0.4889
ser_only,0.0,1.0,1.0,2,48,37,0.2292,0.4783,0.3099,0.3542,0.7391,0.4789,0.375,0.7826,0.507
ser_only,0.0,1.0,1.5,2,31,24,0.3226,0.4348,0.3704,0.4516,0.6087,0.5185,0.4516,0.6087,0.5185
ser_only,0.0,1.0,2.0,2,12,12,0.5,0.2609,0.3429,0.6667,0.3478,0.4571,0.6667,0.3478,0.4571
ser_only,0.0,1.0,2.5,2,5,5,0.6,0.1304,0.2143,1.0,0.2174,0.3571,1.0,0.2174,0.3571
rms_only,,,1.0,2,62,42,0.1613,0.4348,0.2353,0.2903,0.7826,0.4235,0.3065,0.8261,0.4471
rms_only,,,1.5,2,38,30,0.2368,0.3913,0.2951,0.4211,0.6957,0.5246,0.4474,0.7391,0.5574
rms_only,,,2.0,2,19,16,0.3158,0.2609,0.2857,0.4211,0.3478,0.381,0.4737,0.3913,0.4286
rms_only,,,2.5,2,6,6,0.5,0.1304,0.2069,0.6667,0.1739,0.2759,0.6667,0.1739,0.2759
fusion,0.7,0.3,1.0,2,24,22,0.2917,0.3043,0.2979,0.4583,0.4783,0.4681,0.5417,0.5652,0.5532
fusion,0.7,0.3,1.5,2,22,21,0.2273,0.2174,0.2222,0.4091,0.3913,0.4,0.5,0.4783,0.4889
fusion,0.7,0.3,2.0,2,22,21,0.2273,0.2174,0.2222,0.4091,0.3913,0.4,0.5,0.4783,0.4889
fusion,0.7,0.3,2.5,2,22,21,0.2273,0.2174,0.2222,0.4091,0.3913,0.4,0.5,0.4783,0.4889
fusion,0.6,0.4,1.0,2,27,24,0.2963,0.3478,0.32,0.4444,0.5217,0.48,0.4815,0.5652,0.52
fusion,0.6,0.4,1.5,2,23,21,0.2609,0.2609,0.2609,0.4348,0.4348,0.4348,0.5217,0.5217,0.5217
fusion,0.6,0.4,2.0,2,22,21,0.2273,0.2174,0.2222,0.4091,0.3913,0.4,0.5,0.4783,0.4889
fusion,0.6,0.4,2.5,2,22,21,0.2273,0.2174,0.2222,0.4091,0.3913,0.4,0.5,0.4783,0.4889
fusion,0.5,0.5,1.0,2,39,31,0.2308,0.3913,0.2903,0.359,0.6087,0.4516,0.3846,0.6522,0.4839
fusion,0.5,0.5,1.5,2,26,24,0.2692,0.3043,0.2857,0.4231,0.4783,0.449,0.5,0.5652,0.5306
fusion,0.5,0.5,2.0,2,23,21,0.2609,0.2609,0.2609,0.4348,0.4348,0.4348,0.5217,0.5217,0.5217
fusion,0.5,0.5,2.5,2,21,20,0.2381,0.2174,0.2273,0.4286,0.3913,0.4091,0.5238,0.4783,0.5
fusion,0.3,0.7,1.0,2,46,37,0.2174,0.4348,0.2899,0.3696,0.7391,0.4928,0.3913,0.7826,0.5217
fusion,0.3,0.7,1.5,2,33,27,0.2424,0.3478,0.2857,0.3939,0.5652,0.4643,0.4242,0.6087,0.5
fusion,0.3,0.7,2.0,2,25,23,0.24,0.2609,0.25,0.44,0.4783,0.4583,0.52,0.5652,0.5417
fusion,0.3,0.7,2.5,2,20,18,0.3,0.2609,0.2791,0.5,0.4348,0.4651,0.6,0.5217,0.5581
